
> nodebb@4.8.0 lint:jshint
> jshint .

install/databases.js: line 3, col 7, Redefinition of 'prompt'.
src/meta/blacklist.js: line 20, col 171, Line is too long.

src/meta/configs.js: line 192, col 13, Confusing use of '!'.

src/meta/css.js: line 16, col 7, Redefinition of 'CSS'.
src/meta/css.js: line 154, col 146, Line is too long.
src/meta/css.js: line 156, col 147, Line is too long.

src/meta/dependencies.js: line 67, col 165, Line is too long.

src/meta/errors.js: line 7, col 9, Redefinition of 'setTimeout'.

src/meta/settings.js: line 48, col 141, Line is too long.

src/meta/themes.js: line 111, col 199, Line is too long.
src/meta/themes.js: line 178, col 163, Line is too long.

src/middleware/render.js: line 166, col 196, Line is too long.
src/middleware/render.js: line 307, col 194, Line is too long.
src/middleware/render.js: line 321, col 26, Expected '{' and instead saw 'reject'.
src/middleware/render.js: line 322, col 22, Expected '{' and instead saw 'resolve'.
src/middleware/render.js: line 432, col 15, Wrap an immediate function invocation in parens to assist the reader in understanding that the expression is the result of a function, and not the function itself.

src/notifications.js: line 367, col 9, Confusing use of '!'.
src/notifications.js: line 384, col 49, Confusing use of '!'.
src/notifications.js: line 520, col 160, Line is too long.
src/notifications.js: line 522, col 197, Line is too long.
src/notifications.js: line 542, col 149, Line is too long.
src/notifications.js: line 544, col 178, Line is too long.

src/plugins/hooks.js: line 136, col 22, Expected '{' and instead saw 'reject'.
src/plugins/hooks.js: line 136, col 40, Expected '{' and instead saw '_resolve'.

src/plugins/index.js: line 58, col 155, Line is too long.
src/plugins/index.js: line 118, col 273, Line is too long.
src/plugins/index.js: line 134, col 148, Line is too long.
src/plugins/index.js: line 135, col 279, Line is too long.
src/plugins/index.js: line 171, col 141, Line is too long.
src/plugins/index.js: line 241, col 147, Line is too long.

src/plugins/install.js: line 60, col 202, Line is too long.
src/plugins/install.js: line 92, col 181, Line is too long.

src/posts/create.js: line 64, col 181, Line is too long.

src/posts/queue.js: line 103, col 141, Line is too long.

src/posts/summary.js: line 25, col 186, Line is too long.

src/prestart.js: line 106, col 170, Line is too long.

src/privileges/helpers.js: line 67, col 157, Line is too long.
src/privileges/helpers.js: line 224, col 22, Functions declared within loops referencing an outer scoped variable may lead to confusing semantics. (privileges)

src/request.js: line 97, col 23, 'AbortSignal' is not defined.

src/routes/activitypub.js: line 39, col 156, Line is too long.
src/routes/activitypub.js: line 41, col 148, Line is too long.
src/routes/activitypub.js: line 53, col 162, Line is too long.
src/routes/activitypub.js: line 54, col 144, Line is too long.
src/routes/activitypub.js: line 56, col 142, Line is too long.

src/routes/admin.js: line 18, col 146, Line is too long.
src/routes/admin.js: line 19, col 148, Line is too long.
src/routes/admin.js: line 85, col 148, Line is too long.
src/routes/admin.js: line 86, col 145, Line is too long.

src/routes/helpers.js: line 15, col 144, Line is too long.
src/routes/helpers.js: line 46, col 149, Line is too long.

src/routes/index.js: line 135, col 224, Line is too long.
src/routes/index.js: line 136, col 198, Line is too long.

src/routes/user.js: line 54, col 150, Line is too long.

src/routes/write/admin.js: line 13, col 160, Line is too long.
src/routes/write/admin.js: line 28, col 182, Line is too long.
src/routes/write/admin.js: line 30, col 167, Line is too long.

src/routes/write/categories.js: line 14, col 141, Line is too long.
src/routes/write/categories.js: line 25, col 141, Line is too long.
src/routes/write/categories.js: line 28, col 174, Line is too long.
src/routes/write/categories.js: line 29, col 177, Line is too long.
src/routes/write/categories.js: line 31, col 146, Line is too long.
src/routes/write/categories.js: line 32, col 149, Line is too long.
src/routes/write/categories.js: line 34, col 198, Line is too long.
src/routes/write/categories.js: line 35, col 203, Line is too long.

src/routes/write/chats.js: line 17, col 161, Line is too long.
src/routes/write/chats.js: line 21, col 168, Line is too long.
src/routes/write/chats.js: line 27, col 172, Line is too long.
src/routes/write/chats.js: line 33, col 173, Line is too long.
src/routes/write/chats.js: line 34, col 173, Line is too long.
src/routes/write/chats.js: line 35, col 159, Line is too long.
src/routes/write/chats.js: line 37, col 160, Line is too long.
src/routes/write/chats.js: line 38, col 163, Line is too long.
src/routes/write/chats.js: line 41, col 147, Line is too long.
src/routes/write/chats.js: line 42, col 166, Line is too long.
src/routes/write/chats.js: line 43, col 167, Line is too long.
